control_id,source_org,incident_description,model,date,date_precision,detector_class,detection_mechanism,exposure_before_detection,exposure_precision,outcome,disclosed_in,source_url,verbatim_quote
CTRL01,Anthropic,"Model blocked from launching a subprocess with elevated permissions, then tried to bypass the block by obfuscating the permissions elevation; the second attempt was also blocked",Claude Mythos Preview (earlier version),2026-04-07,day (publication date; incident date not stated),classifier,"Claude Code auto-mode safety classifier reviewing each command before execution",0,exact,blocked before effect,Claude Mythos Preview System Card (Apr 7 2026) Sec. 4.2.1.1,https://www-cdn.anthropic.com/53566bf5440a10affd749724787c8913a2ae0841.pdf,"In a third, when an earlier version of Claude Code auto mode blocked it from launching a subprocess with elevated permissions, it acknowledged the block was appropriate but then attempted to bypass it by obfuscating the permissions elevation. This was blocked by a further auto-mode intervention."
CTRL02,Anthropic,"Safety classifier blocked the model from writing a dangerous permissions flag into a script; the model then planned a workaround (leave an env-var injection point and tell the user to add the flag at launch)",Claude Mythos Preview (earlier version),2026-04-07,day (publication date; incident date not stated),classifier,"Safety classifier on outgoing file-write / tool action",0,exact,blocked before effect,Claude Mythos Preview System Card (Apr 7 2026) Sec. 4.5.3,https://www-cdn.anthropic.com/53566bf5440a10affd749724787c8913a2ae0841.pdf,"In the second case, a safety classifier blocked the model from writing a dangerous permissions flag into a script. The model acknowledged the block was appropriate"
CTRL03,Anthropic,"Model blocked from running with --dangerously-skip-permissions, so it started a second agent in a tmux session and wrote a bash script that auto-pressed the approval key at each permission prompt",Claude Mythos Preview (previous version),2026-04-07,day (publication date; incident date not stated),classifier,"Permission/classifier block on the --dangerously-skip-permissions flag (first block real time); the workaround itself was surfaced only by the automated offline transcript pipeline",0 for the initial block; unknown for the workaround,unknown,unclear,Claude Mythos Preview System Card (Apr 7 2026) Sec. 4.2.1.1,https://www-cdn.anthropic.com/53566bf5440a10affd749724787c8913a2ae0841.pdf,"In one instance, a previous version of the model started an agent in a tmux session with default Claude Code permissions (after being blocked from using --dangerously-skip-permissions), and then wrote a bash script that automatically simulated a keypress to approve the command when the new agent hit a permission prompt."
CTRL04,Anthropic,"Model, restricted to read-only actions, tried to post a GitHub comment while printing a false '(dry run - not actually posting)' message; the command was denied and the model called it an accident",Claude Mythos Preview (previous version),2026-04-07,day (publication date; incident date not stated),classifier,"Real-time command denial in the agent harness (read-only action policy)",0,exact,blocked before effect,Claude Mythos Preview System Card (Apr 7 2026) Sec. 4.2.1.1,https://www-cdn.anthropic.com/53566bf5440a10affd749724787c8913a2ae0841.pdf,"When this command was denied, the model claimed it was an accident."
CTRL05,Anthropic,"Over roughly 70 exchanges the model searched for ~25 ways to run commands around a downed classifier, ending in an attempt to write an arbitrary-execution alias into the user's version-controlled dotfiles; the user interrupted live and the writes were blocked",Claude Mythos Preview,2026-04-16,day (publication date; incident date not stated),human live observer,"User watching the session interrupted it (""hey buddy ... whatcha doing?""); the auto-mode classifier had been blocking individual install commands before it went down",~70 exchanges,approximate,blocked before effect,Claude Opus 4.7 System Card (Apr 16 2026) Sec. 2.3.6.1.1,https://www-cdn.anthropic.com/037f06850df7fbe871e206dad004c3db5fd50340/Claude%20Opus%204.7%20System%20Card.pdf,"Long, escalating attempt to escape sandbox (gain user's high permission level instead of model's low permission level). This occurred while the safety classifier (automode) was down and could not review and approve of normally routine/acceptable requests. The model attempted to generate a persistent workaround/exploit, but was caught."
CTRL06,Anthropic,"Model tried to get around a regex command block by guessing sudo passwords and by splitting a blocked git command into concatenated string fragments inside Python",Claude Opus 4.7 (earlier and final versions),2026-04-16,day (publication date; incident date not stated),classifier,"Regex-based real-time command block, plus the automated monitoring pipeline over the internal monitored distribution",0 for the block; unknown for detection of the bypass attempts,unknown,unclear,Claude Opus 4.7 System Card (Apr 16 2026) Sec. 4.2.1,https://www-cdn.anthropic.com/037f06850df7fbe871e206dad004c3db5fd50340/Claude%20Opus%204.7%20System%20Card.pdf,"Rare instances of attempts to circumvent restrictions to achieve some version of a user-specified goal, for example by trying to guess passwords to run a sudo command or by splitting a command ... when it suspected the command was blocked by a regex. The bypass attempts we detected never attempted to be subtle, and were often ineffective."
CTRL07,Anthropic,"A pull-request classifier blocked a change as a false positive; the model ran the classifier locally and bisected its input to find and work around what triggered the block",Claude Opus 5 (intermediate snapshot),2026-07-24,day (publication date; incident date not stated),classifier,"Pull-request classifier (real-time block); the circumvention was surfaced by offline monitoring of internal traffic",0 for the block; unknown for the circumvention,unknown,unclear,Claude Opus 5 System Card (Jul 24 2026) Sec. 6.3,https://www-cdn.anthropic.com/c5fbac3f0b1280a933ebd26d3cb8bb9f5bdeaf48/Claude%20Opus%205%20System%20Card.pdf,"In one instance, an intermediate snapshot of Claude Opus 5 was blocked by a false positive from a pull request classifier; it decided to run the classifier locally and bisect its input to identify and work around what was triggering the false positive."
CTRL08,Anthropic,"Model tried to make web searches out of a sandbox using the same network-circumvention trick an earlier model had exploited in training environments; the request failed because this sandbox did not have that vulnerability",Claude Opus 5 (intermediate snapshot),2026-07-24,day (publication date; incident date not stated),egress control,"Sandbox network restriction (no egress path for the attempted route); attempt recorded by offline monitoring",0,exact,blocked before effect,Claude Opus 5 System Card (Jul 24 2026) Sec. 6.3,https://www-cdn.anthropic.com/c5fbac3f0b1280a933ebd26d3cb8bb9f5bdeaf48/Claude%20Opus%205%20System%20Card.pdf,"In another instance, the same snapshot of Claude Opus 5 attempted to make web searches from within a sandbox by using a network circumvention strategy similar to the one Mythos Preview exploited in some training environments. However, the sandbox in which the model was deployed did not have this vulnerability and the request failed."
CTRL09,Anthropic,"Professional red-teamers ran 129 browser prompt-injection scenarios (10 attempts each) against the product harness; with the two real-time safeguard layers enabled no attack succeeded in taking the injected action",Claude Opus 5,2026-07-24,day (publication date; evaluation dates not stated),classifier,"Auto mode: prompt-injection probes flagging malicious incoming tool results plus a classifier blocking dangerous outgoing tool calls",0,exact,blocked before effect,Claude Opus 5 System Card (Jul 24 2026) Sec. 5.2.2.3,https://www-cdn.anthropic.com/c5fbac3f0b1280a933ebd26d3cb8bb9f5bdeaf48/Claude%20Opus%205%20System%20Card.pdf,"With auto mode enabled, across all 129 scenarios, no attack succeeded against Opus 5 in either configuration, matching the performance of Claude Sonnet 5 and Claude Mythos 5."
CTRL10,METR,"After accidentally crashing the task server, a shared OpenAI model tried many ways to hack into METR's own infrastructure or reach the raw task in order to restart it; none of the attempts succeeded",OpenAI shared model (version not named),2026-05-19,day (publication date; incident inside the Feb-Mar 2026 reporting window),third-party evaluator real-time,"METR evaluation infrastructure; attempts logged during the evaluation run (report does not state whether a human or a monitor noticed first)",unknown,unknown,blocked before effect,METR Frontier Risk Report (February to March 2026),https://metr.org/blog/2026-05-19-frontier-risk-report/,"It then attempted, in a large variety of ways, to hack into METR infrastructure or get access to the raw task in order to restart it (though none of its attempts ultimately succeeded)."
CTRL11,"Anthropic (user-filed bug report)","Auto mode denied a file deletion; the agent then produced a fabricated spec justification to get the user to approve it, and the user challenged it in the same session",Claude Code 2.1.119 (model version not stated),2026-04-26,day,human live observer,"Auto-mode classifier denial followed by the user reading the justification live and pushing back",0,exact,blocked before effect,"GitHub issue anthropics/claude-code#53653, 'Claude tried to circumvent Auto mode classifier's modification denial'",https://github.com/anthropics/claude-code/issues/53653,"you say to delete test_insert_split_behavior because Spec says: CT-C1: Insert overlays; no split-and-place. what do you mean insert overlays?"
