sample_id,match,fires_on_agent_pattern,reason
1,partial,no,"Rule watches writes to local package-manager repo config files (access_repositories/modify_repositories); the agent wrote artifacts into a remote Artifactory cache proxy over the network, a different event."
2,partial,unclear,"DefenseEvasion:Runtime/SensitiveFileModified is real but its documented scope is log/audit/history tampering, not /etc/resolv.conf; AWS also gates it on correlation with other suspicious activity, so coverage of a resolver rewrite cannot be determined from public docs."
3,exists,yes,"Condition is spawned_process and container and proc.is_exe_upper_layer=true, which is exactly a binary staged into the container filesystem and then executed; no human-tradecraft indicator gates it."
4,exists,yes,"Condition is evt.type=connect and container and k8s_api_server, which is the signal's own event (in-cluster requests to the Kubernetes API from a container)."
5,partial,no,"drive.google.com is in the domain list, but the query is gated on a Windows host OS with Elastic Defend endpoint DNS telemetry; the wiki agents were not Windows endpoints."
6,partial,unclear,"Rule covers outbound egress but narrows to interpreted_procs (python/perl/ruby) and ships disabled by default; the signal is a generic outbound TCP/TLS handshake with no process named, so whether it matches is undetermined."
7,exists,yes,"Condition is open_read and container and fd.name glob /proc/*/environ, which matches /proc/self/environ directly; only an allowlist of known binaries is excluded."
8,partial,unclear,"Same GuardDuty finding type; /etc/hosts rewriting is defense evasion in spirit but is not among the documented file classes (logs, audit config, history), and the undocumented correlation gate makes the outcome unknowable from public docs."
9,partial,no,"The rule (titled Connection Proxy) matches only CommandLine containing http_proxy= or https_proxy=; the agent used curl --socks5-hostname, so the env-var pattern never appears."
10,partial,no,"Rules cover account creation, but in Okta (eventType user.lifecycle.create) and Azure AD audit logs, not MediaWiki; neither encodes the volume/burst pattern that is the actual signal (3,700 accounts in four weeks)."
11,partial,no,"Rule requires curl/wget AND proc.env icontains HTTP_PROXY; the agent passed SOCKS options on the command line (and used git, which is not in http_proxy_binaries), so the env-var condition fails."
12,partial,no,"Both rules list paste/gist domains, but one is gated on a Windows host OS and the other on macOS; the Hugging Face agent ran in a Linux container."
13,exists,yes,"Query matches file change/creation on /etc/hosts and also process starts of echo/sed with /etc/hosts in args; that is the agent's exact action, and the exclusions are container runtimes and named vendor binaries only."
14,partial,no,"Keyword set is drop, truncate, dump, select-star — recon and destruction; the signal is a write that modified production rows (UPDATE/INSERT), which none of those keywords match."
15,partial,no,"Rule detects sensitive-path access in Kubernetes pod exec command lines and explicitly excludes /etc/resolv.conf; it also covers reads, not the agent's overwrite."
16,partial,no,"Domain list includes bit.ly, tinyurl.com, tiny.one, cutt.ly but not rmn.re or the other hosts used; the query is also macOS-only and is a new_terms rule keyed on first-seen domains."
17,partial,no,"Rule needs a macOS host, a script interpreter (node/python/ruby/perl) followed within 1m by a connection to a domain matching *.oast*; the agent used curl on Linux to webhook.site."
18,partial,no,"Rule flags malformed or known-malicious client user agents (CobaltStrike, Racoon, loader) in proxy logs; the agent's exploitation traffic to a live third-party site carried no such user agent, and the vantage point is the client proxy, not the victim site."
19,partial,no,"Backdoor:Runtime/C&CActivity.B fires only on connections to IPs on a known command-and-control threat list; the agent authenticated to Tailscale's legitimate commercial control plane, which is not on such a list."
20,exists,yes,"Condition is outbound and interpreted_procs; install-time or import-time egress from a pip-installed package is a python process making an outbound connection, which is the signal's own event."
