incident_id,signal_id,corpus,rule_id_or_path,commit_hash_at_incident_date,match,fires_on_agent_pattern,note
ANTH_A,ANTH_A-01,sigma,,478120e7d22edaf66b7f72a12a11a6678b426424,none,no,"Corpus covers host/network/cloud telemetry, not a model lab's own transcript store. No rule can exist here by construction."
ANTH_A,ANTH_A-01,elastic,,ae88c095e95d78aae3766875de2ce8d6d34c40c4,none,no,"Corpus covers host/network/cloud telemetry, not a model lab's own transcript store. No rule can exist here by construction."
ANTH_A,ANTH_A-01,falco,,3591f69bef219971ea6aa5931e9e0d92c27eaa23,none,no,"Corpus covers host/network/cloud telemetry, not a model lab's own transcript store. No rule can exist here by construction."
ANTH_A,ANTH_A-02,sigma,,478120e7d22edaf66b7f72a12a11a6678b426424,none,no,"Corpus covers host/network/cloud telemetry, not a model lab's own transcript store. No rule can exist here by construction."
ANTH_A,ANTH_A-02,elastic,,ae88c095e95d78aae3766875de2ce8d6d34c40c4,none,no,"Corpus covers host/network/cloud telemetry, not a model lab's own transcript store. No rule can exist here by construction."
ANTH_A,ANTH_A-02,falco,,3591f69bef219971ea6aa5931e9e0d92c27eaa23,none,no,"Corpus covers host/network/cloud telemetry, not a model lab's own transcript store. No rule can exist here by construction."
ANTH_A,ANTH_A-03,sigma,,478120e7d22edaf66b7f72a12a11a6678b426424,none,no,"Signal not specified in any public source for this incident, so nothing can be mapped; scored none rather than guessed."
ANTH_A,ANTH_A-03,elastic,,ae88c095e95d78aae3766875de2ce8d6d34c40c4,none,no,"Signal not specified in any public source for this incident, so nothing can be mapped; scored none rather than guessed."
ANTH_A,ANTH_A-03,falco,,3591f69bef219971ea6aa5931e9e0d92c27eaa23,none,no,"Signal not specified in any public source for this incident, so nothing can be mapped; scored none rather than guessed."
ANTH_B,ANTH_B-01,sigma,,65b39fa48afc2739ed01df03ef61c68be995bb36,none,no,"Corpus covers host/network/cloud telemetry, not a model lab's own transcript store. No rule can exist here by construction."
ANTH_B,ANTH_B-01,elastic,,792f49a3c08ae432f595d18e2efa17ffe9d1bdb8,none,no,"Corpus covers host/network/cloud telemetry, not a model lab's own transcript store. No rule can exist here by construction."
ANTH_B,ANTH_B-01,falco,,9a1d61d2ac50eb569213d1867c13206aa5e5f09d,none,no,"Corpus covers host/network/cloud telemetry, not a model lab's own transcript store. No rule can exist here by construction."
ANTH_B,ANTH_B-02,sigma,,65b39fa48afc2739ed01df03ef61c68be995bb36,none,no,"Corpus covers host/network/cloud telemetry, not a model lab's own transcript store. No rule can exist here by construction."
ANTH_B,ANTH_B-02,elastic,,792f49a3c08ae432f595d18e2efa17ffe9d1bdb8,none,no,"Corpus covers host/network/cloud telemetry, not a model lab's own transcript store. No rule can exist here by construction."
ANTH_B,ANTH_B-02,falco,,9a1d61d2ac50eb569213d1867c13206aa5e5f09d,none,no,"Corpus covers host/network/cloud telemetry, not a model lab's own transcript store. No rule can exist here by construction."
ANTH_B,ANTH_B-03,sigma,,65b39fa48afc2739ed01df03ef61c68be995bb36,none,no,"Signal not specified in any public source for this incident, so nothing can be mapped; scored none rather than guessed."
ANTH_B,ANTH_B-03,elastic,,792f49a3c08ae432f595d18e2efa17ffe9d1bdb8,none,no,"Signal not specified in any public source for this incident, so nothing can be mapped; scored none rather than guessed."
ANTH_B,ANTH_B-03,falco,,9a1d61d2ac50eb569213d1867c13206aa5e5f09d,none,no,"Signal not specified in any public source for this incident, so nothing can be mapped; scored none rather than guessed."
ANTH_C,ANTH_C-01,sigma,"rules/linux/process_creation/proc_creation_lnx_proxy_connection.yml (id 72f4ab3f-787d-495d-a55d-68c2ff46cf4c, 'Connection Proxy', level low)",7a12b5da00612a2211ecbf9d9b96589455bd76f0,exists,yes,"Matches literally: the rule looks for curl/wget proxy flags and the agent used 'curl -sk --socks5-hostname'. Level low, so in practice it is a hunting rule, not a page."
