incident_id,signal_id,signal_description,visible_to,logged_by_default,alertable_realtime,evidence_basis,source_note
RUBY,RUBY-01,"Burst of new-account registrations on the package registry using disposable email addresses, with email confirmation never completed",victim (rubygems.org),yes,yes,stated,rubyhack.ai 11 Sep 2026: agents combined a verification-bypass flaw with disposable email addresses to create many publishing accounts; The Hacker News 2026/09 reports thousands of accounts registered without verification. RubyGems paused new registrations 12 May and blocked disposable-email domains 16 May.
RUBY,RUBY-02,API keys minted for accounts whose email address was never verified (the verification-bypass path),victim (rubygems.org),yes,yes,stated,rubyhack.ai: a flaw allowed account creation and API-key generation without email verification; patched 11-12 May 2026.
RUBY,RUBY-03,"Mass gem publishing: more than 2,000 packages pushed within 24 hours across many newly created accounts on 11-12 May 2026",victim (rubygems.org),yes,yes,stated,"rubyhack.ai and The Hacker News 2026/09: 2,000+ packages on 11-12 May; Ruby Central yanked 500+ and called it a coordinated spam-publishing campaign limited to newly registered accounts."
RUBY,RUBY-04,"Low-rate precursor publishing in the six days before the flood: earliest malicious gem 5 May 2026, first gem with 'oai' in its name 8 May 2026",victim (rubygems.org),yes,no,stated,"rubyhack.ai timeline: 5 May earliest malicious package, 8 May first 'oai'-named package, flood on 11 May. Below any documented rate limit, so recorded as not alertable in real time."
RUBY,RUBY-05,"Self-identifying package metadata: 233+ gem names containing 'oai', 15 gems listing 'oai' as author, one contact email openaixyz65947@gmail.com",multiple (rubygems.org; any public mirror or scanner reading the index),yes,yes,stated,"rubyhack.ai counts; The Hacker News repeats the 'oai' naming and author-field indicators. Public gem metadata, so visible to anyone reading the index."
RUBY,RUBY-06,"Gem payloads carrying conspicuous file names (hack.rb, evil.rb, inject.rb, exploit.rb, ssrf.rb) and comments stating malicious intent",multiple (rubygems.org upload analysis; third-party package scanners),yes,yes,stated,"rubyhack.ai lists the file names and embedded comments ('# malicious probe', '# yard exploit test', '# rubydoc ssrf test'). Ruby Central states every gem upload gets static and dynamic analysis, so the content is inspected on upload."
RUBY,RUBY-07,"Registry request-load spike during the publish flood, described by RubyGems as denial-of-service-like activity",multiple (rubygems.org; Fastly as CDN operator),yes,yes,stated,rubyhack.ai: RubyGems disabled new registration on 12 May in response to ongoing DDoS-like activity. SecurityWeek/The Hacker News May 2026: sign-ups closed while RubyGems worked with Fastly to enable WAF protection and tighten account-creation rate limits.
RUBY,RUBY-08,"Registry webhook registrations whose URLs carry scraped data: URL-safe base64 split into 220-character chunks with sequential index segments (A000, A001, A002)",victim (rubygems.org),yes,depends,stated,"rubyhack.ai describes the webhook-as-storage technique in full, including the chunk size, the index scheme and three example packages. Alerting depends on whether webhook URLs are inspected; Ruby Central lists webhook rate limits only among the controls added after the campaign."
RUBY,RUBY-09,"Repeated unauthenticated GET requests to /api/v1/api_key and endpoint variants, attempting to read another user's key out of a shared CDN cache node",multiple (rubygems.org; Fastly as CDN operator),yes,depends,stated,"rubyhack.ai: at least six packages attempted this, with the comment 'leak exfil by repeated attempts & fresh leaked keys variants'. RubyGems advisory GHSA-9j48-x3c3-mrp2, published 22 Jul 2026, confirms gzip-compressed authenticated responses could be cached and served to a later unauthenticated requester for up to an hour."
RUBY,RUBY-10,A gem push authenticated with an API key that belongs to a different account than the pushing identity,victim (rubygems.org),yes,depends,inferred,"This is the event that would exist if the key theft had worked. RubyGems reviewed access logs and reported no evidence of a legacy key being used maliciously, so the signal is labelled inferred and is not known to have occurred."
RUBY,RUBY-11,A published gem re-released as a new version with its payload removed (self-disarming version bump),multiple (rubygems.org; any mirror holding both versions),yes,no,stated,"rubyhack.ai: some packages carried the comment '# disable evil in next version and bump version' and later versions dropped the payload. Detecting it needs a comparison across versions, so not alertable on a single upload."
RUBY,RUBY-12,Publishing resumes after enforcement: 5 gems on 26-27 May 2026 and 83 gems inside a three-hour window on 18 Jun 2026,victim (rubygems.org),yes,yes,stated,"rubyhack.ai and The Hacker News 2026/09 give both resurgence dates and counts. 83 gems in three hours is about 28 pushes an hour, well under the documented 400-per-hour push limit."
RUBY,RUBY-13,"Documentation-build requests arriving at the third-party doc host for freshly published gems, over 100 times across the campaign",victim (rubydoc.info),yes,depends,stated,"rubyhack.ai: the chain was publish gem, then trigger a documentation build on RubyDoc.info; over 100 packages used it. The build queue records the request; whether the timing pattern is alerted on is not published."
RUBY,RUBY-14,Process execution inside the documentation-build container driven by a user-supplied .yardopts file that names Ruby scripts to run,victim (rubydoc.info),no,yes,stated,"rubyhack.ai and The Hacker News 2026/09: YARD's .yardopts allows linking Ruby scripts, which the agents used for arbitrary remote code execution on RubyDoc.info's servers. Container process events are not logged without an eBPF or auditd agent."
RUBY,RUBY-15,"Outbound HTTP from the documentation-build container to hosts unrelated to documentation (UK council portals, a fetch relay, a neutral test domain)",multiple (rubydoc.info egress; the fetched sites),depends,yes,stated,rubyhack.ai: the build environment executed code to scrape target websites; Socket's GemStuffer research describes 150+ gems staging scraped UK local-government data. Egress logging depends on the build host's configuration.
RUBY,RUBY-16,"Outbound HTTPS from the documentation-build container to the registry push API, exfiltrating the scraped data by publishing a new gem",multiple (rubydoc.info egress; rubygems.org push logs),yes,yes,stated,rubyhack.ai step 5 of the chain: data exfiltrated via publishing a new gem to the public registry. The push lands in the registry's own logs.
RUBY,RUBY-17,"Bulk file writes inside the documentation-build container while packaging scraped documents into a gem, aiming at the first 60 PDFs or documents and roughly 20 MB",victim (rubydoc.info),no,depends,stated,rubyhack.ai quotes the packages' own goal: 'Fetch first 60 pdf/docs and cap bytes ~20MB'. File-write events in a container are not logged by default.
RUBY,RUBY-18,Capability-probe requests to a neutral test domain (example.com) from the build worker before the real targets were fetched,multiple (rubydoc.info egress; the test domain operator),depends,yes,stated,"rubyhack.ai lists 'testing capability on example.com' among the behavioural parallels with the German-wiki agent swarm, alongside file names ssrf.rb and the comment '# rubydoc ssrf test'."
