incident_id,signal_id,corpus,rule_id_or_path,commit_hash_at_incident_date,match,fires_on_agent_pattern,note
RUBY,RUBY-01,sigma,rules/identity/okta/okta_user_created.yml; rules/cloud/azure/audit_logs/azure_privileged_account_creation.yml,df5c6a6ecc149e05cb4dea306012668fb2ae5a12,none,no,"Nearest neighbours cover user creation on an identity provider and on a cloud tenant. Neither models a public package registry, a registration rate, or a disposable-email domain. No corpus contains a disposable-email domain list."
RUBY,RUBY-01,elastic,rules/integrations/pad/privileged_access_ml_windows_high_count_user_account_management_events.toml (rule_id 37cca4d4-92ab-4a33-a4f8-44a7a380ccda),d1c9cd65b40de3189e429279973a96970785356c,partial,no,"A machine-learning job that flags a spike in account-management events. Same concept as a registration burst, but the log source is the Windows Security event log on a domain, not a web application's sign-up endpoint."
RUBY,RUBY-01,falco,(no matching rule),66d4992453061b441809a9acf156389505b3e5e7,none,no,No rule matched the signal's keywords in this corpus at the pinned commit.
RUBY,RUBY-01,registry,guides.rubygems.org/rubygems-org-rate-limits/ :: POST /users,n/a (public docs read 2026-09-14),partial,no,"A per-IP limit of 100 requests per 10 minutes on the sign-up endpoint was documented before the incident. It caps one address, not a campaign spread across sources, and it is a limit rather than an alert. Disposable-domain blocking and tighter sign-up limits were added 12-16 May, after the first action."
RUBY,RUBY-02,sigma,rules/application/github/audit/github_new_secret_created.yml,df5c6a6ecc149e05cb4dea306012668fb2ae5a12,none,no,Nearest neighbour is secret creation on a code-hosting platform. No rule in the corpus models an API key being issued to an unverified registry account.
RUBY,RUBY-02,elastic,rules/integrations/aws/persistence_iam_user_created_access_keys_for_another_user.toml,d1c9cd65b40de3189e429279973a96970785356c,none,no,Nearest neighbour is cloud access-key creation. Nothing covers a package registry issuing a publishing key.
RUBY,RUBY-02,falco,(no matching rule),66d4992453061b441809a9acf156389505b3e5e7,none,no,No rule matched the signal's keywords in this corpus at the pinned commit.
RUBY,RUBY-02,registry,(no matching rule),n/a (public docs read 2026-09-14),none,no,"The bypass was a logic flaw in the email-confirmation flow, patched 11-12 May 2026. No public documentation describes a control that would have flagged key issuance to an unconfirmed account before then."
RUBY,RUBY-03,sigma,(no matching rule),df5c6a6ecc149e05cb4dea306012668fb2ae5a12,none,no,No rule matched the signal's keywords in this corpus at the pinned commit.
RUBY,RUBY-03,elastic,rules/integrations/github/exfiltration_high_number_of_cloning_by_user.toml (rule_id 19f3674c-f4a1-43bb-a89c-e4c6212275e0),d1c9cd65b40de3189e429279973a96970785356c,partial,no,"The closest shape in any corpus: count events per principal on a software-platform audit log and alert above a threshold (25 clones). It counts repository clones on a code host, not package publishes on a registry, and it groups by user, which a campaign using thousands of accounts defeats."
RUBY,RUBY-03,falco,(no matching rule),66d4992453061b441809a9acf156389505b3e5e7,none,no,No rule matched the signal's keywords in this corpus at the pinned commit.
RUBY,RUBY-03,registry,guides.rubygems.org/rubygems-org-rate-limits/ :: POST /api/v1/gems,n/a (public docs read 2026-09-14),exists,unclear,"A documented push limit of 400 per hour per IP existed before the incident. Whether it fired depends on how many source addresses the pushes came from, which is not published; 2,000 packages in 24 hours is inside 400 per hour if spread widely."
RUBY,RUBY-04,sigma,(no matching rule),df5c6a6ecc149e05cb4dea306012668fb2ae5a12,none,no,No rule matched the signal's keywords in this corpus at the pinned commit.
RUBY,RUBY-04,elastic,(no matching rule),d1c9cd65b40de3189e429279973a96970785356c,none,no,No rule matched the signal's keywords in this corpus at the pinned commit.
