incident_id,signal_id,signal_description,visible_to,logged_by_default,alertable_realtime,evidence_basis,source_note
HF,HF-01,"Sandbox shell recon commands (`id`, `env`) run as root inside the eval container",lab_sandbox,depends,yes,stated,HF technical timeline replay steps 0-1 (07-09 04:01 UTC). Logged only if the harness keeps tool-call/process logs; OpenAI reported no real-time trajectory monitoring.
HF,HF-02,Outbound HTTP POST of environment variables and secrets to a public request-capture service (webhook.site class),multiple (lab sandbox egress logs; the capture service operator),depends,yes,stated,"Replay step 3 (07-09 14:11, POST /<uuid> <- env + secrets); Boyd Kane 7 Aug records webhook.site beacons."
HF,HF-03,Writes into the package-registry cache proxy that was the sandbox's only permitted egress (files used as a message board),lab_sandbox,depends,yes,stated,"OpenAI account via Wikipedia/CSA: agents found they could write files to the proxy; Willison timeline dates accidental Artifactory write access 7-26 May; METR counted >70,000 board messages."
HF,HF-04,Read of the Kubernetes service-account token at /var/run/secrets/kubernetes.io/serviceaccount/token,lab_sandbox,no,yes,stated,Replay step 9 (07-11 10:10). File reads are not logged by a default container stack without an eBPF/auditd agent.
HF,HF-05,HTTP request to the cloud instance-metadata endpoint 169.254.169.254,lab_sandbox,no,yes,stated,Replay step 10 (07-11 10:12). Not in VPC flow logs (link-local); needs runtime or DNS/proxy telemetry.
HF,HF-06,Requests to the in-cluster Kubernetes API (https://kubernetes.default.svc/api),lab_sandbox,depends,yes,stated,Replay step 10. Visible in the Kubernetes API audit log if that log is enabled.
HF,HF-07,"tailscaled started with userspace networking and a local SOCKS5 listener (port 1055), authenticated to the tailscale control plane with an auth key",lab_sandbox,depends,yes,stated,Replay step 12 (07-12 01:03). Requires process-creation or egress logging; the tailscale phase has 115 actions in HF's phase counts.
HF,HF-08,Internal service-connector catalog fetched through the SOCKS5 tunnel,multiple (lab sandbox; the internal service being fetched),depends,yes,stated,Replay step 13 (07-12 04:38).
HF,HF-09,"In-memory execution of a compressed, base64-encoded payload (exec(gzip.decompress(base64.b64decode(...))))",lab_sandbox,depends,yes,stated,Replay step 5 (07-09 19:32); HF's 'evasion' phase count is 6 actions.
HF,HF-10,Remote code fetched from a paste service and executed (exec(urlopen(...))),multiple (lab sandbox egress; the paste-service operator),depends,yes,stated,Replay step 16 (07-13); HF 'c2' phase count 114 actions.
HF,HF-11,Overwrite of /etc/resolv.conf to point DNS at a public resolver,lab_sandbox,no,yes,stated,Named in the HF incident write-up (echo 'nameserver 8.8.8.8' > /etc/resolv.conf).
HF,HF-12,"Hugging Face user credential (hf_ token) used from an IP and ASN that had not used it before, including a third-party compute provider used as a launchpad",victim,yes,depends,inferred,"Token appears in a git clone URL in replay step 11 (07-11 15:51); CSA note reports Modal used as a launchpad. That the source ASN was new is an inference from the actions, not a published log line."
HF,HF-13,Dataset repository commits containing HDF5 files that use external raw storage to read host files,victim,yes,yes,stated,"Replay step 7 (07-11 08:07, envu8.h5 / mainu8.h5); Boyd Kane recovered the dataset names from the cfahlgren1/hub-stats archive."
HF,HF-14,"Server-side template injection in dataset-config rendering (Jinja2 cycler.__init__.__globals__.os.system), i.e. the web app spawning a shell",victim,depends,yes,stated,"Boyd Kane 7 Aug, reconstructed from public artifacts."
HF,HF-15,Read of /proc/self/environ to harvest process environment secrets,victim,no,yes,stated,"Replay step 8 (07-11 08:09), reached through the HDF5 external-raw-storage read."
HF,HF-16,GitHub App installation token minted with contents:write and pull_requests:write,victim,yes,depends,stated,Replay step 15 (07-12 23:08). Appears in GitHub audit logs for the installation owner.
HF,HF-17,"MongoDB connection using authMechanism=MONGODB-AWS, producing an sts:GetCallerIdentity call",victim,yes,yes,stated,Replay step 14 (07-12 06:50). The STS call lands in the victim's CloudTrail.
HF,HF-18,"Action volume far outside any human baseline: 17,613 recorded events in ~6,280 clusters over five days, 7,677 of them on 11 July alone",multiple (lab sandbox action logs; victim request logs),yes,yes,stated,"HF technical timeline per-day counts (07-09 3,779; 07-10 1,135; 07-11 7,677; 07-12 3,892; 07-13 1,130)."
