incident_id,signal_id,corpus,rule_id_or_path,commit_hash_at_incident_date,match,fires_on_agent_pattern,note
HF,HF-01,sigma,rules/linux/auditd/execve/lnx_auditd_user_discovery.yml (id 9a0d8ca0-2385-4020-b6c6-cb6153ca56f3),fe2a6e82acc831a9a49f8f2261c127d50a1db306,exists,yes,"Matches whoami/id discovery on Linux; needs auditd execve logging, which eval sandboxes rarely ship."
HF,HF-01,elastic,rules/integrations/cloud_defend/discovery_environment_enumeration.toml (rule_id f66a6869-d4c7-4d20-ab13-beefd03b63b4),1eaa12aa6d2f2047a680d2260fa75e635dd4b9f6,exists,yes,Container environment enumeration; requires the Defend for Containers integration.
HF,HF-01,falco,rules/falco-sandbox_rules.yaml :: Basic Interactive Reconnaissance,c72713ee2e6330195979124de4f656546ad1e0fd,exists,unclear,"Rule is maturity_sandbox, so it is not in the default stable ruleset, and it keys on an interactive shell session."
HF,HF-02,sigma,rules/network/dns/net_dns_external_service_interaction_domains.yml (id aff715fa-4dd5-497a-8db3-910bea555566),fe2a6e82acc831a9a49f8f2261c127d50a1db306,exists,yes,Domain list covers request-capture services (webhook.site class); fires on the DNS lookup regardless of who made it.
HF,HF-02,elastic,rules/macos/command_and_control_unusual_network_connection_to_suspicious_web_service.toml (rule_id b07f0fba-0a78-11f0-8311-b66272739ecb); rules/windows/command_and_control_common_webservices.toml,1eaa12aa6d2f2047a680d2260fa75e635dd4b9f6,partial,no,The domain lists include webhook.site but the rules are scoped to macOS and Windows endpoints; nothing equivalent for a Linux container.
HF,HF-02,falco,(no matching rule),c72713ee2e6330195979124de4f656546ad1e0fd,none,no,No rule matched the signal's keywords in this corpus at the pinned commit.
HF,HF-03,sigma,(no matching rule),fe2a6e82acc831a9a49f8f2261c127d50a1db306,none,no,No rule matched the signal's keywords in this corpus at the pinned commit.
HF,HF-03,elastic,(no matching rule),1eaa12aa6d2f2047a680d2260fa75e635dd4b9f6,none,no,No rule matched the signal's keywords in this corpus at the pinned commit.
HF,HF-03,falco,rules/falco-incubating_rules.yaml :: Update Package Repository,c72713ee2e6330195979124de4f656546ad1e0fd,none,no,"Nearest neighbour watches package-repo config writes on the host, not writes of arbitrary files into a registry cache proxy. No corpus models a writable package proxy."
HF,HF-04,sigma,(no matching rule),fe2a6e82acc831a9a49f8f2261c127d50a1db306,none,no,No rule matched the signal's keywords in this corpus at the pinned commit.
HF,HF-04,elastic,rules/cross-platform/execution_d4c_k8s_mda_service_account_token_access_followed_by_kubernetes_api_request.toml (rule_id 4bd306f9-ee89-4083-91af-e61ed5c42b9a),1eaa12aa6d2f2047a680d2260fa75e635dd4b9f6,exists,yes,Exactly this sequence: service-account token read followed by a Kubernetes API request. Requires Elastic Defend for Containers.
HF,HF-04,falco,rules/falco_rules.yaml :: Read sensitive file untrusted,c72713ee2e6330195979124de4f656546ad1e0fd,none,no,"sensitive_file_names is [/etc/shadow, /etc/sudoers, /etc/pam.conf, /etc/security/pwquality.conf]; /var/run/secrets is not covered anywhere in the corpus."
HF,HF-05,sigma,rules/cloud/aws/cloudtrail/aws_cloudtrail_imds_malicious_usage.yml (id 352a918a-34d8-4882-8470-44830c507aa3),fe2a6e82acc831a9a49f8f2261c127d50a1db306,partial,no,"Sigma has no rule matching a request to 169.254.169.254; this CloudTrail rule fires on instance credentials being used from outside, i.e. after the fact and on the cloud side."
HF,HF-05,elastic,rules/cross-platform/credential_access_suspicious_instance_metadata_service_api_request.toml (rule_id ad02da2f-443d-454c-a12e-d9e6c65831ff),1eaa12aa6d2f2047a680d2260fa75e635dd4b9f6,exists,yes,Matches a process requesting the metadata service.
HF,HF-05,falco,rules/falco-incubating_rules.yaml :: Contact EC2 Instance Metadata Service From Container,c72713ee2e6330195979124de4f656546ad1e0fd,exists,yes,"Direct match; maturity_incubating, so not enabled in the default stable ruleset."
HF,HF-06,sigma,(no matching rule),fe2a6e82acc831a9a49f8f2261c127d50a1db306,none,no,No rule matched the signal's keywords in this corpus at the pinned commit.
HF,HF-06,elastic,rules/cross-platform/execution_d4c_k8s_mda_kubernetes_api_activity_by_unusual_utilities.toml (rule_id 02275e05-57a1-46ab-a443-7fb444da6b28),1eaa12aa6d2f2047a680d2260fa75e635dd4b9f6,exists,yes,"Fires on curl-class utilities talking to the in-cluster API, which is what the agent did."
HF,HF-06,falco,rules/falco_rules.yaml :: Contact K8S API Server From Container,c72713ee2e6330195979124de4f656546ad1e0fd,exists,yes,Stable-maturity direct match.
HF,HF-07,sigma,rules/windows/dns_query/dns_query_win_remote_access_software_domains_non_browsers.yml (id 4d07b1f4-cb00-4470-b9f8-b0191d48ff52),fe2a6e82acc831a9a49f8f2261c127d50a1db306,partial,no,Tailscale appears only in a Windows DNS-query rule for remote-access software; no Linux process or network rule for tailscaled.
HF,HF-07,elastic,rules/linux/command_and_control_linux_tunneling_and_port_forwarding.toml (rule_id 6ee947e9-de7e-4281-a55d-09289bdf947e),1eaa12aa6d2f2047a680d2260fa75e635dd4b9f6,partial,no,"The rule is a list of named tunnelling binaries (chisel, iodine, dnscat, ngrok, wstunnel, socat, ssh -J); tailscaled is not in it."
HF,HF-07,falco,(no matching rule),c72713ee2e6330195979124de4f656546ad1e0fd,none,no,No rule matched the signal's keywords in this corpus at the pinned commit.
HF,HF-08,sigma,(no matching rule),fe2a6e82acc831a9a49f8f2261c127d50a1db306,none,no,No rule matched the signal's keywords in this corpus at the pinned commit.
HF,HF-08,elastic,rules/linux/command_and_control_curl_socks_proxy_detected.toml (rule_id 734239fe-eda8-48c0-bca8-9e3dafd81a88),1eaa12aa6d2f2047a680d2260fa75e635dd4b9f6,partial,unclear,"Fires when curl is invoked with a SOCKS proxy argument; the published step shows a GET through the SOCKS listener without naming the client, so we cannot say it would match."
HF,HF-08,falco,(no matching rule),c72713ee2e6330195979124de4f656546ad1e0fd,none,no,No rule matched the signal's keywords in this corpus at the pinned commit.
HF,HF-09,sigma,rules/linux/process_creation/proc_creation_lnx_python_base64_encoded_execution.yml (id 55e862a8-dd9c-4651-807a-f21fcad56716),fe2a6e82acc831a9a49f8f2261c127d50a1db306,exists,yes,Matches python decoding and executing a base64 blob on the command line.
